grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
181125A,08:54:39,873433,268.391,-2.634,2.2,10.5,3.3,0.6,1.5,0.3,"1.57, PL",0.31,0.47185832,0.0,Swift BAT,
181123B,05:33:03,873186,184.354,14.619,1.9,0.26,1.2,0.2,1.3,0.3,"0.72, PL",0.28,1.2585897,0.0,Swift BAT,
181110A,08:43:31,871316,302.33,-36.878,1.4,138.4,99,3.0,3.7,0.3,"2.02, PL",0.05,0.27910155,0.0,Swift BAT,
181103A,04:22:30,870201,197.093,52.22,2.0,8.38,2.8,0.5,0.8,0.2,"1.90, PL",0.27,0.3211693,0.0,Swift BAT,
181030A,01:27:22,869494,146.916,14.657,1.1,304.7,62,3.0,0.8,0.2,"1.77, PL",0.09,0.3738165,0.0,Swift BAT,
181027A,01:48:59,868984,225.361,30.937,1.1,81.16,28,2.0,1.2,0.2,"1.42, PL",0.09,0.5616379,0.0,Swift BAT,
181023A,02:04:02,868427,248.322,19.581,2.0,58.0,13,2.0,1.0,0.3,"1.74, PL",0.24,0.3871261,0.0,Swift BAT,
181022A,17:30:13,868312,56.808,-29.374,2.6,6.74,1.9,0.4,0.4,0.2,"0.78, PL",0.41,1.1749395,0.0,Swift BAT,
181020A,19:00:33,867987,13.987,-47.372,1.0,238.0,81,3.0,7.7,0.3,"1.25, PL",0.06,0.68383884,0.0,Swift BAT,
181016A,00:55:00,867252,231.273,-35.307,1.8,111.6,19,2.0,0.7,0.3,"1.51, PL",0.20,0.50593233,0.0,Swift BAT,
181013A,02:39:29,866783,207.661,40.107,3.3,104.1,3.0,1.4,0.5,0.2,"1.82, PL",0.75,0.35262975,0.0,Swift BAT,
181010A,05:55:51,866434,52.574,-23.023,1.4,16.4,6.9,0.7,1.4,0.2,"1.52, PL",0.15,0.5000895,0.0,Swift BAT,
181003A,05:11:03,865179,52.481,-33.991,1.7,21.5,4.2,0.7,0.6,0.1,"-0.20, CPL",1.12,3.5817797,180.0,Swift BAT,
181002A,11:26:43,865036,64.739,15.248,1.8,63.4,8.8,1.3,0.6,0.2,"2.15, PL",0.23,0.23965424,0.0,Swift BAT,
180930A,12:43:49,864584,76.894,-25.124,2.2,6.80,2.1,0.4,0.0,0.2,"1.86, PL",0.28,0.33653703,0.0,Swift BAT,
180925A,14:37:31,863421,315.212,-64.45,1.5,81.70,41,3.0,3.1,0.6,"1.53, PL",0.13,0.4943132,0.0,Swift BAT,
180924A,15:22:22,863186,49.207,-58.524,1.4,95.1,14,1.0,0.6,0.1,"1.94, PL",0.14,0.3064944,0.0,Swift BAT,
180905A,13:57:46,859421,91.038,-4.592,1.7,165.3,42,3.0,1.0,0.3,"1.60, PL",0.12,0.45567983,0.0,Swift BAT,
180904A,21:28:32,859282,274.26,46.64,2.4,5.40,2.4,0.4,0.5,0.2,"1.02, PL",0.30,0.8917149,0.0,Swift BAT,
180828A,18:57:34,856977,268.704,-25.791,1.0,14.0,88,3.0,17.8,0.9,"0.89, PL",0.06,1.0355586,0.0,Swift BAT,
180823A,19:04:32,855434,210.358,14.901,1.0,80.3,78,2.0,2.3,0.2,"1.58, PL",0.05,0.46640354,0.0,Swift BAT,
180818B,12:30:18,853882,104.227,39.31,1.7,134.4,23,2.0,1.2,0.2,"1.77, PL",0.12,0.3738165,0.0,Swift BAT,
180818A,03:12:04,853824,169.698,-48.344,2.3,13.7,2.6,0.6,0.6,0.2,"2.15, PL",0.36,0.23965424,0.0,Swift BAT,
180812A,08:22:30,852903,245.839,74.674,2.3,16.51,8.0,1.4,1.9,0.4,"1.22, PL",0.27,0.7079711,0.0,Swift BAT,
180809B,20:28:48,852553,299.712,-15.293,1.0,233.2,730,10.0,26.3,0.6,"1.26, PL",0.02,0.6759763,0.0,Swift BAT,
180805B,13:02:36,851855,25.877,-17.475,3.1,122.5,9.6,1.7,1.7,0.2,"1.13, PL",0.29,0.7855134,0.0,Swift BAT,
180805A,09:04:49,851829,167.575,-45.327,2.1,1.68,1.1,0.3,1.1,0.2,"1.58, PL",0.32,0.46640354,0.0,Swift BAT,
180728A,17:29:00,850471,253.574,-54.037,1.0,8.68,296,6.0,132.0,2.9,"1.97, PL",0.03,0.2959244,0.0,Swift BAT,
180727A,14:15:28,850231,346.639,-63.066,1.1,1.1,2.7,0.2,3.6,0.2,"0.59, CPL",0.51,1.4604697,259.0,Swift BAT,
180721A,11:06:48,849018,347.708,4.871,1.8,47.6,5.9,0.9,0.9,0.1,"1.25, PL",0.22,0.68383884,0.0,Swift BAT,
180720C,22:23:57,848932,265.655,-26.634,1.7,124.2,24,2.0,1.1,0.2,"1.39, PL",0.13,0.58151686,0.0,Swift BAT,
180715A,18:07:05,848048,235.085,-0.899,2.0,0.68,1.3,0.2,1.2,0.2,"0.74, PL",0.27,1.2300746,0.0,Swift BAT,
180709A,10:52:00,846868,38.086,60.333,1.6,215.1,14,2.0,0.6,0.2,"1.37, PL",0.23,0.595153,0.0,Swift BAT,
180706A,08:24:40,846395,181.687,66.044,1.1,42.7,24,1.0,3.2,0.2,"1.90, PL",0.08,0.3211693,0.0,Swift BAT,
180705A,15:41:14,846299,212.605,-11.64,2.1,123.2,20,3.0,0.7,0.3,"1.63, PL",0.22,0.44004846,0.0,Swift BAT,
180704A,05:36:42,846088,32.605,69.965,1.3,19.7,62,4.0,9.6,1.2,"1.22, PL",0.10,0.7079711,0.0,Swift BAT,
180630A,11:11:51,845443,48.885,-87.476,1.0,18.85,18,1.0,6.6,0.4,"2.07, PL",0.10,0.26322344,0.0,Swift BAT,
180626A,08:21:16,844615,243.569,14.759,1.0,30.07,48,2.0,4.1,0.4,"1.64, PL",0.27,0.4349564,0.0,Swift BAT,
180624A,13:49:40,844192,318.096,-2.356,1.3,486.4,58,3.0,1.4,0.2,"1.91, PL",0.10,0.31743684,0.0,Swift BAT,
180623A,16:41:56,844015,214.528,-60.268,1.0,114.9,120,2.0,5.6,0.2,"1.45, PL",0.04,0.5424288,0.0,Swift BAT,
180620B,15:50:37,843211,357.514,-57.954,1.0,198.8,100,3.0,3.6,0.2,"1.30, CPL",0.20,0.64540666,330.0,Swift BAT,
180620A,08:34:58,843122,279.89,23.239,1.0,23.16,58,2.0,7.7,0.4,"1.72, PL",0.05,0.39625767,0.0,Swift BAT,
180618A,00:43:13,842475,169.948,73.825,1.5,47.4,6.7,1.0,2.2,0.2,"1.39, PL",0.27,0.58151686,0.0,Swift BAT,
180614A,19:16:13,841548,3.073,46.969,1.9,7.04,2.1,0.3,0.7,0.1,"1.53, PL",0.26,0.4943132,0.0,Swift BAT,
180602A,08:14:50,835200,142.343,32.08,1.5,45.4,16,1.0,0.9,0.2,"1.72, PL",0.11,0.39625767,0.0,Swift BAT,
180514A,13:25:33,832368,197.382,36.97,1.3,46.9,10,1.0,0.7,0.1,"1.77, PL",0.14,0.3738165,0.0,Swift BAT,
180512A,22:01:47,832119,201.94,21.404,1.9,24.0,4.2,0.7,0.6,0.2,"2.10, PL",0.27,0.25412822,0.0,Swift BAT,
180510B,20:15:42,831816,77.965,-62.32,1.7,134.3,21,2.0,1.2,0.2,"2.00, PL",0.17,0.2857143,0.0,Swift BAT,
180510A,19:24:34,831810,276.335,-31.917,1.0,40.4,62,2.0,8.9,0.5,"1.06, CPL",0.23,0.85155356,306.0,Swift BAT,
180504A,19:46:13,830822,331.144,-14.665,1.3,88.3,22,2.0,0.8,0.2,"1.50, PL",0.13,0.5118424,0.0,Swift BAT,
180425A,06:46:21,828672,64.45,-32.949,1.5,11.2,11,1.0,2.2,0.3,"1.35, PL",0.13,0.609104,0.0,Swift BAT,
180418A,06:44:06,826428,170.132,24.925,1.2,2.29,3.2,0.2,3.0,0.2,"1.44, PL",0.12,0.5487588,0.0,Swift BAT,
180411A,12:27:43,824451,356.84,66.79,1.0,77.5,120,0.0,6.1,0.2,"1.46, PL",0.03,0.53617084,0.0,Swift BAT,
180410A,08:02:59,824063,95.974,12.804,1.9,100.7,22,2.0,0.7,0.2,"1.46, PL",0.13,0.53617084,0.0,Swift BAT,
180407A,01:54:49,823001,35.236,33.513,1.8,95.9,14,2.0,0.9,0.2,"1.94, PL",0.20,0.3064944,0.0,Swift BAT,
180404B,02:11:44,821902,53.39,-50.213,1.0,111.5,120,2.0,5.2,0.2,"1.35, PL",0.04,0.609104,0.0,Swift BAT,
180404A,00:45:35,821881,83.54,-37.168,1.1,35.2,13,1.0,1.3,0.2,"1.95, PL",0.12,0.30293033,0.0,Swift BAT,
180402A,09:44:59,821103,251.923,-14.928,2.0,0.18,1.4,0.2,1.8,0.3,"0.52, PL",0.30,1.5820545,0.0,Swift BAT,
180331B,15:38:39,820513,196.781,61.735,2.0,147.0,19,2.0,2.8,0.3,"2.48, PL",0.22,0.16257283,0.0,Swift BAT,
180331A,04:14:55,820347,66.005,13.386,1.9,48.0,6.1,1.0,0.5,0.1,"0.11, CPL",1.04,2.5223765,211.0,Swift BAT,
180329B,14:08:23,819490,82.905,-23.694,1.8,210.0,33,3.0,1.4,0.4,"0.97, CPL",0.56,0.94454753,297.0,Swift BAT,
180329A,00:58:00,819301,329.314,-15.043,2.3,9.1,2.3,0.4,0.5,0.2,"1.39, PL",0.31,0.58151686,0.0,Swift BAT,
180325A,01:53:02,817564,157.416,24.461,1.1,94.1,65,2.0,9.4,0.3,"1.18, PL",0.05,0.74145645,0.0,Swift BAT,
180324A,04:37:09,817345,76.581,56.744,1.4,7.2,5.6,0.5,4.4,0.3,"1.45, PL",0.14,0.5424288,0.0,Swift BAT,
180316A,04:57:25,814677,265.422,0.737,1.5,87.0,49,4.0,3.3,0.5,"1.46, PL",0.12,0.53617084,0.0,Swift BAT,
180314B,22:23:36,814305,297.855,23.634,2.0,73.0,9.6,1.4,1.1,0.2,"2.41, PL",0.25,0.17654742,0.0,Swift BAT,
180314A,00:43:31,814129,99.208,-24.53,3.1,51.2,110,4.0,7.9,0.6,"0.83, CPL",0.25,1.1094328,283.0,Swift BAT,
180311A,18:03:49,813721,3.379,-54.491,2.3,23.0,3.3,0.7,0.6,0.2,"1.78, PL",0.29,0.36948106,0.0,Swift BAT,
180224A,22:21:07,811561,202.675,38.073,1.3,10.9,4.7,0.5,1.4,0.2,"2.11, PL",0.18,0.251166,0.0,Swift BAT,
180222A,13:10:03,811235,256.537,-36.819,1.6,64.0,7.9,1.0,0.4,0.1,"1.40, PL",0.21,0.5748147,0.0,Swift BAT,
180205A,04:25:29.3,808625,126.819,11.536,1.1,15.5,10,1.0,3.4,0.3,"2.04, PL",0.13,0.27263993,0.0,Swift BAT,
180204A,02:36:16,808483,330.123,30.852,1.1,1.16,4.8,0.3,3.6,0.3,"1.09, PL",0.10,0.8226067,0.0,Swift BAT,
180115A,04:16:03,805318,12.04,-15.632,1.8,40.9,7.6,1.1,0.6,0.2,"1.66, PL",0.22,0.42494592,0.0,Swift BAT,
180113A,02:47:06,804999,19.211,68.682,1.0,64,48,2.0,2.5,0.2,"1.08, PL",0.06,0.8321463,0.0,Swift BAT,
180111A,16:42:06,804692,149.782,48.254,1.0,50.6,102,2.0,4.9,0.3,"1.30, PL",0.03,0.64540666,0.0,Swift BAT,
180102A,15:49:44,802999,203.078,62.161,1.5,10.8,3.5,0.4,1.0,0.1,"2.01, PL",0.18,0.2823888,0.0,Swift BAT,
171222A,16:24:59,799669,148.273,35.624,1.7,174.8,19,2.0,0.7,0.2,"2.07, PL",0.17,0.26322344,0.0,Swift BAT,
171216A,03:06:59,797441,212.013,-50.5,2.1,30.0,4.8,1.0,0.8,0.2,"1.63, PL",0.30,0.44004846,0.0,Swift BAT,
171212A,11:57:21,796778,293.92,20.597,1.7,320,34,3.0,0.7,0.2,"2.23, PL",0.14,0.21817169,0.0,Swift BAT,
171211A,09:27:32,796469,98.154,-58.689,1.8,2.32,2.4,0.3,2.3,0.3,"1.77, PL",0.21,0.3738165,0.0,Swift BAT,
171209A,14:46:16,796100,139.387,-30.523,1.2,161.7,75,3.0,1.6,2.0,"1.58, PL",0.07,0.46640354,0.0,Swift BAT,
171205A,07:20:43,794972,167.423,-12.599,1.6,189.4,36,3.0,1.0,0.3,"1.41, PL",0.14,0.5681886,0.0,Swift BAT,
171123A,14:14:47,791922,186.198,32.503,2.4,58.5,4.8,1.0,0.8,0.2,"1.35, PL",0.34,0.609104,0.0,Swift BAT,
171120A,13:20:02,791201,163.774,22.461,1.2,64,86,3.0,11.4,0.5,"1.06, CPL",0.28,0.85155356,306.0,Swift BAT,
171115A,18:51:20,790053,278.392,9.118,1.5,38.2,6.9,0.8,0.6,0.1,"1.76, PL",0.18,0.3782021,0.0,Swift BAT,
171103A,23:10:32,785850,249.51,-10.206,1.5,3.90,3.8,0.4,3.6,0.3,"1.31, PL",0.18,0.63797957,0.0,Swift BAT,
171102B,15:20:29,785510,288.096,22.434,2.1,17.8,9.3,1.4,1.2,0.4,"1.16, PL",0.24,0.7587793,0.0,Swift BAT,
171027A,08:23:06,783479,61.683,-2.601,1.2,96.6,75,2.0,3.0,0.2,"1.25, CPL",0.18,0.68383884,325.0,Swift BAT,
171020A,23:07:10,780845,39.26,15.199,1.8,41.9,12,1.0,0.7,0.2,"1.04, PL",0.20,0.87140644,0.0,Swift BAT,
171011A,18:32:47,778154,236.766,-10.064,1.0,2.27,11,1.0,7.0,0.4,"1.68, PL",0.08,0.41516268,0.0,Swift BAT,
171007A,11:57:38,777215,135.635,42.93,3.6,105,2.9,1.1,0.4,0.1,"1.38, PL",0.52,0.588296,0.0,Swift BAT,
171004A,07:55:32,776347,139.15,52.684,1.3,107.1,30,2.0,0.9,0.3,"1.67, PL",0.12,0.4200262,0.0,Swift BAT,
171001A,18:25:40,775553,22.08,-11.928,2.2,22.8,6.4,0.8,0.9,0.2,"1.48, PL",0.19,0.5238675,0.0,Swift BAT,
170921A,14:28:48,773509,26.84,30.88,1.8,28.9,6.7,0.8,0.8,0.2,"1.76, PL",0.17,0.3782021,0.0,Swift BAT,
170912B,06:33:46,772052,215.464,-61.997,1.0,19.6,24,1.0,5.7,0.3,"1.88, PL",0.07,0.3287646,0.0,Swift BAT,
170912A,01:34:16,772006,167.386,-54.343,2.1,21.9,11,1.0,2.0,0.4,"2.04, PL",0.21,0.27263993,0.0,Swift BAT,
170906C,07:26:17,770981,128.659,70.805,1.0,48.4,88,3.0,7.2,0.5,"1.30, CPL",0.22,0.64540666,330.0,Swift BAT,
170906A,00:43:11,770957,203.949,-47.088,1.3,88.1,320,0.0,10.9,0.4,"1.21, CPL",0.10,0.71620005,321.0,Swift BAT,
170903A,12:49:07,770528,254.532,34.985,1.3,29.2,24,2.0,3.9,0.5,"1.94, PL",0.12,0.3064944,0.0,Swift BAT,
170827A,05:12:28,769567,276.189,-40.202,1.9,94.0,14,1.0,0.4,0.2,"1.29, PL",0.18,0.65291893,0.0,Swift BAT,
170823A,22:16:48,769177,188.713,35.549,1.0,69.4,26,1.0,3.7,0.2,"2.06, PL",0.09,0.26632604,0.0,Swift BAT,
170822A,09:11:51,768939,94.375,55.0,2.1,64,64,4.0,4.2,0.7,"1.80, PL",0.09,0.36095843,0.0,Swift BAT,
170813A,01:13:16,767563,201.057,-5.527,3.4,75.5,19,2.0,0.8,0.2,"1.17, PL",0.14,0.7500686,0.0,Swift BAT,
170810A,22:01:41,767284,187.928,3.664,1.0,152.4,48,2.0,1.2,0.2,"1.24, PL",0.07,0.69179153,0.0,Swift BAT,
170807A,21:56:09,766821,143.434,-17.348,1.5,48.5,8.6,0.8,1.4,0.2,"1.82, PL",0.15,0.35262975,0.0,Swift BAT,
170804A,12:01:37,766194,6.404,-64.781,1.3,43.4,13,1.0,0.9,0.2,"1.67, PL",0.13,0.4200262,0.0,Swift BAT,
170803A,17:30:27,766081,174.947,-16.312,1.0,3.82,9.8,0.4,6.5,0.3,"0.65, CPL",0.28,1.363614,265.0,Swift BAT,
170728B,23:03:19,765130,238.019,70.111,2.3,47.7,6.2,1.1,1.21,0.24,"-1.10, CPL",1.71,9.829409,90.0,Swift BAT,
170728A,06:53:28,765008,58.901,12.169,2.1,1.25,0.71,0.14,1.1,0.2,"-0.49, CPL",1.81,4.9651127,151.0,Swift BAT,
170724A,00:48:44,764204,150.057,-1.025,2.4,98.0,11,2.0,0.5,0.2,"1.46, PL",0.23,0.53617084,0.0,Swift BAT,
170711A,22:20:25,761622,45.782,47.845,1.0,31.3,14,1.0,4.8,0.2,"1.75, PL",0.10,0.38263845,0.0,Swift BAT,
170710B,08:10:06.251,Ground Analysis,43.122,42.679,1.0,54.4,24,1.0,1.2,0.2,"1.38, PL",0.08,0.588296,0.0,Swift BAT,
170710A,00:45:44,761119,231.851,-38.523,3.5,32.6,7.4,1.7,1.0,0.3,"1.91, PL",0.37,0.31743684,0.0,Swift BAT,
170705A,02:45:47,760064,191.708,18.298,1.0,217.3,95,3.0,13.9,0.4,"1.65, PL",0.05,0.42992243,0.0,Swift BAT,
170629A,12:53:33,759159,129.963,-46.585,1.3,34.4,26,2.0,4.1,0.6,"1.66, PL",0.12,0.42494592,0.0,Swift BAT,
170626A,09:37:23,758766,165.409,56.479,1.0,12.94,82,2.0,23.6,0.6,"1.26, CPL",0.14,0.6759763,326.0,Swift BAT,
170604A,19:08:50,755867,342.645,-15.406,1.4,26.70,51,4.0,4.2,0.9,"1.31, PL",0.12,0.63797957,0.0,Swift BAT,
170531B,22:02:09,755354,286.901,-16.414,1.5,164.13,20,2.0,0.8,0.2,"1.95, PL",0.14,0.30293033,0.0,Swift BAT,
170526A,13:35:08,754549,4.723,1.277,2.4,7.9,1.6,0.4,0.3,0.2,"1.25, PL",0.42,0.68383884,0.0,Swift BAT,
170524A,19:49:15,754322,319.488,48.603,2.0,0.10,0.37,0.06,0.5,0.1,"1.07, PL",0.24,0.84179485,0.0,Swift BAT,
170519A,05:10:02,753445,163.429,25.374,1.5,216.4,11,2.0,0.7,0.1,"1.94, PL",0.26,0.3064944,0.0,Swift BAT,
170516A,12:49:20,753110,41.543,-55.929,1.6,36.78,8.5,0.9,1.3,0.2,"1.13, CPL",0.87,0.7855134,313.0,Swift BAT,
170428A,09:13:42,750298,330.051,26.913,1.2,0.20,2.8,0.2,2.8,0.2,"0.76, PL",0.12,1.2021959,0.0,Swift BAT,
170419B,21:33:46,748947,60.494,-15.121,1.4,77.2,19,2.0,2.4,0.2,"1.47, PL",0.13,0.52998394,0.0,Swift BAT,
170419A,13:26:40,748898,79.854,-21.433,1.7,8.18,3.1,0.5,1.5,0.2,"2.06, PL",0.26,0.26632604,0.0,Swift BAT,
170331A,01:40:46,744791,323.778,-24.406,2.0,17.57,9.7,1.6,1.2,0.4,"0.37, CPL",1.19,1.8771566,237.0,Swift BAT,
170330A,22:29:51,744773,283.331,-13.458,1.6,144.73,56,3.0,4.5,0.3,"1.38, PL",0.09,0.588296,0.0,Swift BAT,
170325A,07:56:57.95,Ground Analysis,127.483,20.526,2.0,0.3,0.88,0.13,1.1,0.2,"1.06, PL",0.26,0.85155356,0.0,Swift BAT,
170318B,15:27:52,743086,284.229,6.335,3.7,160.0,5.5,1.9,0.1,0.1,"1.84, PL",0.59,0.3444907,0.0,Swift BAT,
170318A,12:11:56,743065,305.662,28.408,1.2,133.7,37,3.0,1.2,0.3,"1.35, PL",0.11,0.609104,0.0,Swift BAT,
170317A,09:45:59,742866,93.087,50.5,1.0,11.94,13,1.0,3.5,0.3,"0.80, CPL",0.49,1.148292,280.0,Swift BAT,
170311A,08:08:42,741965,280.539,-30.041,2.0,6.32,2.5,0.5,0.8,0.2,"1.38, PL",0.32,0.588296,0.0,Swift BAT,
170307A,20:24:21,741528,13.51,9.538,2.5,56.92,13,2.0,1.4,0.3,"1.88, PL",0.23,0.3287646,0.0,Swift BAT,
170306A,07:06:12,741220,263.087,-44.765,2.4,17.8,8.3,1.4,1.3,0.4,"1.98, PL",0.28,0.29248163,0.0,Swift BAT,
170208B,22:33:38,737463,127.145,-9.027,1.0,128.07,61,2.0,8.4,0.2,"1.18, CPL",0.21,0.74145645,318.0,Swift BAT,
170208A,18:11:16,737438,166.544,-46.786,1.4,7.45,15,1.0,5.4,0.6,"1.04, PL",0.13,0.87140644,0.0,Swift BAT,
170206B,21:57:25,737125,271.784,11.175,2.2,13.36,3.2,0.6,0.4,0.2,"1.42, PL",0.27,0.5616379,0.0,Swift BAT,
170205A,12:39:09,736843,262.157,-0.058,1.0,26.1,38,1.0,4.3,0.3,"1.85, PL",0.06,0.34049097,0.0,Swift BAT,
170203A,00:03:41,736432,332.861,25.186,2.2,45.2,6.2,1.1,0.8,0.2,"1.53, PL",0.29,0.4943132,0.0,Swift BAT,
170202A,18:28:02,736407,152.526,5.021,1.0,46.2,33,1.0,4.7,0.3,"1.68, PL",0.07,0.41516268,0.0,Swift BAT,
170127B,15:13:28,735331,19.997,-30.34,1.9,0.51,1.0,0.2,1.1,0.2,"0.89, PL",0.25,1.0355586,0.0,Swift BAT,
170127A,14:21:15,735326,174.382,-45.827,2.4,62.26,5.2,1.0,0.3,0.2,"1.10, PL",0.30,0.8131747,0.0,Swift BAT,
170126A,11:30:42,735188,263.623,-64.755,1.0,9.5,28,3.0,7.3,1.1,"1.54, PL",0.14,0.48860267,0.0,Swift BAT,
170115A,20:50:08,733103,332.145,13.75,1.9,48.0,4.7,0.8,0.2,0.1,"1.45, PL",0.25,0.5424288,0.0,Swift BAT,
170113A,10:04:05,732526,61.735,-71.933,1.3,20.66,6.7,0.7,1.1,0.1,"0.75, CPL",0.59,1.2160566,275.0,Swift BAT,
170112A,02:02:00,732188,15.232,-17.233,2.5,0.06,0.13,0.04,0.3,0.1,"1.17, PL",0.34,0.7500686,0.0,Swift BAT,
170111A,00:33:28,731887,20.688,-32.541,2.1,29.9,8.1,1.1,0.9,0.2,"1.64, PL",0.21,0.4349564,0.0,Swift BAT,
170101A,02:26:01,729293,267.089,11.642,1.1,2.43,60,2.0,54.4,2.0,"1.87, PL",0.06,0.3326284,0.0,Swift BAT,
161224A,22:13:34.64,728268,204.82,-18.028,1.9,47.04,8.2,1.3,0.8,0.3,"-0.21, CPL",1.56,3.6224253,179.0,Swift BAT,
161220A,08:33:30,727610,350.841,-47.48,2.0,6,1.7,0.3,0.5,0.1,"2.01, PL",0.25,0.2823888,0.0,Swift BAT,
161219B,18:48:39,727541,91.717,-26.801,1.0,6.94,15,1.0,5.3,0.4,"1.29, CPL",0.35,0.65291893,329.0,Swift BAT,
161218A,03:47:36,727288,245.25,-4.113,1.0,7.1,67,1.0,17.6,0.5,"0.56, CPL",0.16,1.5114073,256.0,Swift BAT,
161217A,01:27:34,727167,150.658,52.344,2.1,18.2,1.9,0.4,0.4,0.1,2.70,0.35,0.12539622,0.0,Swift BAT,
161214B,17:20:10,726885,3.857,7.342,1.0,24.8,21,1.0,2.2,0.2,"1.76, PL",0.09,0.3782021,0.0,Swift BAT,
161129A,07:11:39,724438,316.221,32.137,1.8,35.53,36,1.0,3.4,0.2,"1.57, PL",0.06,0.47185832,0.0,Swift BAT,
161117B,09:49:43,722642,298.83,-67.681,1.5,152.51,60,2.0,6.0,0.3,"1.39, CPL",0.28,0.58151686,339.0,Swift BAT,
161117A,01:35:36,722604,322.053,-29.612,1.0,125.7,200,0.0,6.8,0.3,"1.19, CPL",0.12,0.7329417,319.0,Swift BAT,
161113A,17:30:26,722063,179.794,-5.316,1.0,42.60,15,1.0,1.4,0.2,"1.73, PL",0.10,0.39166564,0.0,Swift BAT,
161108A,03:32:33,721234,180.776,24.905,1.9,105.1,11,1.0,0.6,0.1,"1.85, PL",0.17,0.34049097,0.0,Swift BAT,
161105A,04:53:02,720697,120.198,-44.763,1.2,177.3,61,2.0,1.4,0.2,"1.02, CPL",0.24,0.8917149,302.0,Swift BAT,
161104A,09:42:26,720568,77.906,-51.447,1.8,0.1,0.31,0.05,0.6,0.1,"1.57, PL",0.20,0.47185832,0.0,Swift BAT,
161022A,02:43:40,718655,128.988,54.366,2.1,7.3,7.5,1.0,1.6,0.4,"1.14, PL",0.21,0.7765005,0.0,Swift BAT,
161017A,17:51:51,718023,142.77,43.125,1.0,216.3,53,2.0,2.8,0.2,1.55,0.06,0.48295715,0.0,Swift BAT,
161014A,12:31:22,717500,332.626,7.467,1.5,18.3,19,2.0,2.9,0.6,"1.47, PL",0.15,0.52998394,0.0,Swift BAT,
161011A,05:54:54,716876,245.687,8.313,2.4,4.3,2.3,0.4,0.9,0.3,"1.15, PL",0.35,0.76758957,0.0,Swift BAT,
161007A,21:25:43,716127,103.408,23.289,1.6,201.7,13,2.0,0.4,0.1,"1.46, PL",0.18,0.53617084,0.0,Swift BAT,
161004B,23:07:59,715246,112.156,-39.896,1.0,15.9,88,2.0,10.1,0.4,"1.21, CPL",0.13,0.71620005,321.0,Swift BAT,
161004A,12:58:28,715084,263.127,-0.947,2.2,~1.3 to ~3,0.95,0.16,1.3,0.33,"1.26, PL",0.33,0.6759763,0.0,Swift BAT,
161001A,01:05:16,714404,71.923,-57.261,1.0,2.6,6.7,0.4,3.5,0.2,"1.14, PL",0.09,0.7765005,0.0,Swift BAT,
160927A,18:04:49,713782,256.268,17.334,1.8,0.48,n/a1.5,0.2,1.9,0.3,"1.12, PL",0.26,0.79462934,0.0,Swift BAT,
160917A,11:30:19,712505,295.652,46.4,1.5,16,13,1.0,2.2,0.3,"0.89, PL",0.15,1.0355586,0.0,Swift BAT,
160905A,11:18:58,711084,162.249,-50.803,1.0,64,150,2.0,6.3,0.3,"1.04, PL",0.03,0.87140644,0.0,Swift BAT,
160827A,15:46:45,710050,179.274,-29.178,2.4,13.3,4.0,0.7,0.7,0.2,"1.95, PL",0.25,0.30293033,0.0,Swift BAT,
160826A,06:12:38,709907,183.12,-67.664,2.6,52.6,4.9,0.9,0.4,0.1,"1.54, PL",0.29,0.48860267,0.0,Swift BAT,
160824A,23:22:25,709765,80.087,40.039,1.2,99.3,26,2.0,1.3,0.2,"1.64, PL",0.11,0.4349564,0.0,Swift BAT,
160821B,22:29:13,709357,280.005,62.387,1.4,0.48,1.0,0.1,1.7,0.2,"0.11, CPL",0.88,2.5223765,211.0,Swift BAT,
160815A,11:45:11,708598,288.616,84.298,1.0,8.6,14,1.0,4.7,0.4,"0.96, CPL",0.41,0.95547813,296.0,Swift BAT,
160804A,01:32:47,707231,221.652,10.002,1.3,144.2,114,3.0,2.9,0.3,"1.40, CPL",0.23,0.5748147,340.0,Swift BAT,
160801A,09:28:30,706871,212.763,13.485,1.8,2.85,1.7,0.3,1.2,0.2,"1.85, PL",0.22,0.34049097,0.0,Swift BAT,
160726A,01:34:07,706052,98.809,-6.617,1.3,0.7,2.6,0.2,3.2,0.3,"1.26, PL",0.13,0.6759763,0.0,Swift BAT,
160716A,01:08:30,704572,190.502,-61.364,2.0,6.39,1.8,0.3,0.8,0.2,"2.29, PL",0.30,0.20331903,0.0,Swift BAT,
160714A,02:19:15,704310,234.49,63.809,2.7,0.35,0.69,0.16,1.1,0.3,"1.38, PL",0.37,0.588296,0.0,Swift BAT,
160709A,19:49:03.464,Ground Analysis,235.996,-28.188,2.4,4.8,4.5,0.7,2.7,0.4,"1.11, PL",0.28,0.80384934,0.0,Swift BAT,
160705B,21:02:07,703176,168.107,46.707,2.3,54.4,7.3,1.1,0.5,0.2,"1.79, PL",0.27,0.3651952,0.0,Swift BAT,
