grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
231118A,17:16:33,1197311,4.84,-48.044,1.0,37.63,37,2.0,9.7,0.5,"1.40, PL",0.07,0.5748147,0.0,Swift BAT,
231117A,03:03:19,1197027,332.404,13.516,1.0,0.67,23,1.0,28.9,0.7,"1.55, PL",0.04,0.48295715,0.0,Swift BAT,
231111A,14:17:19,1195887,290.197,52.44,1.0,34.08,34,1.0,2.7,0.3,"1.58, PL",0.07,0.46640354,0.0,Swift BAT,
231110A,21:19:34,1195733,356.244,82.63,1.2,11.34,15,1.0,3.4,0.4,"1.35, PL",0.11,0.609104,0.0,Swift BAT,
231104A,01:47:39,1194500,23.824,83.794,1.0,46.77,130,0.0,24.8,0.6,"1.24, PL",0.03,0.69179153,0.0,Swift BAT,
231028A,04:09:09,1193078,214.016,20.897,1.0,37.23,72,2.0,8.6,0.4,"1.40, PL",0.04,0.5748147,0.0,Swift BAT,
230911C,08:47:25,1191188,226.796,-41.356,2.0,16.21,3.8,0.6,0.7,0.2,"1.26, PL",0.28,0.6759763,0.0,Swift BAT,
230903A,17:22:56,1189514,9.898,-40.91,1.9,2.54,2.2,0.4,1.3,0.3,"-0.66, CPL",1.59,6.0091014,134.0,Swift BAT,
230826A,19:32:47,1187463,83.048,66.129,1.0,41.07,36,1.0,3.0,0.2,"1.20, CPL",0.22,0.72452325,320.0,Swift BAT,
230818A,23:27:34,1186032,285.888,40.888,1.1,9.82,19,1.0,6.7,0.5,"1.36, PL",0.10,0.6020887,0.0,Swift BAT,
230816A,16:08:48,1185673,328.453,37.853,1.2,20.48,7.7,0.7,1.0,0.1,"1.43, PL",0.14,0.55516154,0.0,Swift BAT,
230815A,10:49:55,1185505,184.76,-58.067,1.2,17.00,52,3.0,13.7,1.1,"1.19, PL",0.10,0.7329417,0.0,Swift BAT,
230805B,11:23:51,1183217,207.738,31.19,2.1,93.77,19,2.0,1.2,0.3,"1.36, PL",0.20,0.6020887,0.0,Swift BAT,
230802A,06:50:26,1182085,76.232,19.552,1.0,175.62,50,2.0,2.3,0.2,"1.60, PL",0.07,0.45567983,0.0,Swift BAT,
230728A,02:50:03,1181187,343.514,28.169,1.3,15.10,11,1.0,2.5,0.3,"1.58, PL",0.13,0.46640354,0.0,Swift BAT,
230723B,11:42:32,1180410,250.391,-5.319,1.0,6.64,17,1.0,5.1,0.5,"1.09, CPL",0.38,0.8226067,309.0,Swift BAT,
230628E,22:26:10,1177054,171.851,-11.43,2.4,4.72,3.3,0.6,1.1,0.3,"1.45, PL",0.30,0.5424288,0.0,Swift BAT,
230622A,10:04:21,1176135,292.516,-32.972,2.2,18.37,4.1,1.0,2.8,0.4,"2.52, PL",0.43,0.15508455,0.0,Swift BAT,
230618A,03:51:12,1175438,196.642,3.278,1.7,104.05,15,2.0,0.5,0.1,"1.35, PL",0.15,0.609104,0.0,Swift BAT,
230606A,00:14:37,1173731,166.777,36.504,2.5,16.26,12,6.0,2.6,0.6,"1.15, PL",0.30,0.76758957,0.0,Swift BAT,
230510A,12:06:28,1167973,318.138,34.43,1.0,178.4,100,10.0,5.9,0.3,"1.60, PL",0.09,0.45567983,0.0,Swift BAT,
230506C,17:09:19,1167288,134.371,45.131,1.4,31.00,17,2.0,2.4,0.5,"1.89, PL",0.17,0.32494506,0.0,Swift BAT,
