Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
3215,3.9885e-08,4.2755e-09,6.1356e-08,4.1462e-09,3.5103e-07,1.145e-08,9.2574e-07,1.0396e-07,454.5,110.0,-0.7347,0.167,-3.423,5.56,0.006189,0.000786,13.337,0.396,0.064,6.481,0.15,0.192,1.722,0.053,0.768,0.128,0.091,-0.064,0.64,0.091,-0.064
3217,7.8275e-07,3.9221e-08,6.5369e-07,2.7043e-08,2.066e-06,6.8384e-08,2.5424e-06,7.5307e-07,83.02,26.0,0.08401,1.42,-2.004,0.0952,0.05186,0.118,1.18,0.179,12.288,0.994,0.087,12.672,0.898,0.043,12.736,16.64,0.716,4.16,44.832,1.541,-4.096
3218,2.0976e-09,1.5138e-09,4.2419e-09,1.648e-09,5.2264e-08,5.2982e-09,3.4477e-07,7.3789e-08,296.0,367.0,3.158,9.35,-1.3,0.363,0.001091,0.00497,2.149,0.213,0.0,0.827,0.089,0.128,0.196,0.039,0.832,0.04,0.011,-0.048,0.096,0.011,-0.072
3220,7.9054e-07,4.8905e-08,1.0678e-06,3.8413e-08,3.4801e-06,1.1098e-07,1.0453e-05,1.4942e-06,269.8,136.0,-0.8714,0.357,-1.802,0.182,0.006051,0.00232,0.8,0.173,0.064,0.695,0.085,0.064,0.629,0.042,0.448,26.272,1.404,-4.096,100.448,7.621,-32.768
3227,6.0311e-06,4.9846e-08,9.4723e-06,5.2212e-08,3.2147e-05,1.3686e-07,5.4334e-05,1.2683e-06,503.5,18.8,-0.8118,0.0216,-2.469,0.101,0.09329,0.00159,17.725,0.507,109.888,17.026,0.248,110.016,13.966,0.113,110.208,20.736,0.091,94.016,115.328,0.181,11.328
3229,1.3348e-07,1.9885e-08,1.8131e-07,1.6113e-08,1.8644e-07,3.7865e-08,4.9594e-07,4.9452e-07,87.74,24.2,-0.6599,0.907,-2.237,0.175,0.01909,0.0262,0.967,0.183,-0.64,0.775,0.089,-0.512,0.658,0.044,-0.192,6.08,0.898,-0.384,20.736,0.905,-1.216
3237,8.6128e-07,2.7063e-08,7.9645e-07,2.1872e-08,1.8006e-06,5.3912e-08,1.2322e-06,4.7284e-07,172.5,21.4,-0.905,0.159,-2.207,0.128,0.02373,0.00439,2.314,0.214,2.496,2.013,0.105,2.624,1.911,0.052,3.008,6.72,0.143,0.896,46.24,1.639,-5.12
3238,3.3615e-07,2.1277e-08,3.005e-07,1.8694e-08,5.2305e-07,4.9221e-08,4.7829e-07,5.3709e-07,135.7,9.58,-0.187,0.276,-4.181,3.27,0.02231,0.00683,1.657,0.202,0.256,1.587,0.1,0.448,1.308,0.048,0.96,6.4,0.143,0.768,20.928,0.528,0.0
3241,6.1468e-06,4.6292e-08,6.596e-06,4.062e-08,1.6216e-05,9.8681e-08,2.2404e-05,8.9537e-07,403.7,17.9,-0.9362,0.0267,-2.364,0.0869,0.06596,0.0015,13.845,0.395,23.744,12.476,0.189,23.872,9.091,0.084,21.632,12.992,0.091,20.928,45.44,0.091,0.0
3242,2.7326e-06,2.8324e-08,9.3826e-07,1.4918e-08,7.0634e-07,3.2694e-08,8.4707e-07,4.335e-07,29.78,3.41,-1.051,0.264,-3.596,0.0883,0.3288,0.151,2.92,0.231,3.648,2.689,0.114,3.712,2.511,0.056,3.904,2.688,0.091,2.368,8.576,0.143,0.128
3245,1.0034e-05,4.9511e-08,1.51e-05,5.3098e-08,6.7755e-05,1.5387e-07,0.00016888,1.4254e-06,344.9,9.55,-0.4996,0.0296,-2.527,0.0757,0.09829,0.00243,14.086,0.436,31.936,12.788,0.207,32.0,10.929,0.096,29.824,34.24,0.091,19.52,77.056,0.091,9.6
3246,1.223e-06,4.4852e-08,7.768e-07,2.6748e-08,1.7392e-06,6.4865e-08,1.4603e-06,6.1954e-07,121.7,14.2,-0.9293,0.293,-2.662,0.351,0.01573,0.00553,1.289,0.183,8.768,1.14,0.091,8.768,0.952,0.044,9.472,13.952,0.181,5.824,54.464,4.164,-0.512
3247,1.3939e-06,4.9391e-08,2.752e-06,5.3187e-08,1.2493e-05,1.5041e-07,1.9301e-05,1.6964e-06,262.5,29.5,-0.236,0.19,-2.87,0.785,0.01259,0.00207,1.507,0.193,167.488,1.448,0.095,167.616,1.139,0.045,166.336,46.848,0.659,126.912,200.704,2.57,1.472
3248,1.3874e-08,5.2614e-09,7.1015e-09,4.9357e-09,1.2827e-07,1.3332e-08,9.2496e-07,2.9276e-07,1007.0,953.0,-0.434,0.472,-1.859,1.21,0.001338,0.000309,1.016,0.197,0.064,0.737,0.094,0.064,0.5,0.044,0.64,59.264,1.105,-0.128,84.16,3.165,-2.672
3256,1.2014e-06,4.5201e-08,1.1622e-06,3.8732e-08,1.7832e-06,9.0945e-08,0.0,4.3494e-07,157.8,6.59,1.135,0.271,-3.469,0.481,0.08333,0.022,1.892,0.219,1.152,1.763,0.108,1.6,1.67,0.054,1.728,60.16,1.032,3.584,96.576,8.384,0.576
3257,1.5613e-06,3.9302e-08,2.2702e-06,3.2718e-08,8.4091e-06,1.002e-07,2.365e-06,6.9299e-07,231.6,9.25,0.6681,0.135,-3.366,0.509,0.05207,0.00581,3.209,0.274,4.032,3.063,0.133,4.032,2.925,0.066,4.288,22.592,0.326,5.568,63.616,0.834,1.536
3259,7.7419e-07,2.561e-08,1.195e-06,2.5528e-08,4.3248e-06,7.2092e-08,7.631e-06,8.6198e-07,255.6,26.8,-0.6296,0.121,-2.364,0.247,0.02078,0.00243,2.276,0.228,4.864,2.063,0.111,5.248,1.966,0.055,5.696,15.168,0.453,4.736,48.448,1.669,1.152
3266,3.4849e-09,3.526e-09,1.3241e-08,3.887e-09,1.1108e-07,1.0959e-08,1.4112e-07,8.8084e-08,292.0,197.0,0.7015,1.8,-1.666,0.349,0.002518,0.00321,2.701,0.265,0.128,1.382,0.111,0.128,0.471,0.048,0.448,0.144,0.023,-0.006,0.61,0.233,-0.32
