trigger number,t50,t50 uncertainty,t50 start time,t90,t90 uncertainty,t90 start time,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,gal_long,gal_lat,error_radius_gal,ra,dec,error_radius_ra_dec,hr1,hr2,hr3,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,satellite_source,grb_class
2600,0.22695627958785852,0.1588296760710554,0.9128787878787878,31.808,1.214,0.64,0.12858475980890566,0.019510446538303975,0.6649654876435035,0.1699942954934398,0.45466756212222964,0.1245257375842347,0.8566223683524865,1.0,0.32419985632373455,0.35615404830328157,0.45932099270850263,0.4120120736789631,0.2956156982764632,0.3855842904789084,0.0,0.270863590108381,0.9195076851958858,0.33496672884706413,0.5607668606641562,0.17606077192827627,0.010677047129153345,0.5607668606641562,0.595321144506313,0.2062347411229499,0.0,0.14049816352356556,0.27812499999999996,0.8125,0.15638947406005643,0.30397236614853196,0.7869481765834933,0.20384526291406066,0.360655737704918,0.8288288288288288,CGRO BATSE,1.0
2603,0.21804511278195488,0.06130268199233716,0.7575757575757576,24.704,0.326,2.56,0.08854130395420422,0.004916018025399428,0.7566968277243303,0.12792355961209353,0.527819393501059,0.02127338278875739,1.0,1.0,0.9341115997596602,0.42668809849923545,0.9090093099808092,0.5411166581303086,0.47124565957945125,0.5011238644721762,0.1126448320110045,0.4116417484922775,0.44186987172079045,0.6633905949828773,0.6423599224010043,0.5621520982152127,0.38170443486723205,0.6423599224010043,0.408900270043756,0.16612295952836695,0.05012506887163485,0.38038211055896787,0.6218749999999998,0.55078125,0.4151819188060128,0.6839378238341969,0.5335892514395394,0.5470465601111882,0.8360655737704915,0.5325325325325325,CGRO BATSE,1.0
2606,1.0,0.12399860675722744,1.0,134.688,1.145,-37.888,0.4501859409167514,0.405981155264236,0.2997031579700297,0.08870507701083856,0.759260215942553,0.055816675160918906,0.23758334933516836,0.14187307635937274,1.0,0.8033541129378687,1.0,1.0,1.0,0.9734365156533438,1.0,1.0,0.4299087021842135,0.5447559651418549,0.20894670774848792,0.4834511824604938,0.1418323369943,0.20894670774848792,0.5193651106017949,0.4283101415766626,0.4265809631129235,0.27741596962869225,0.4406249999999999,1.0,0.2989252686828293,0.48359240069084625,1.0,0.3715543201297197,0.5737704918032784,1.0,CGRO BATSE,1.0
2608,0.36062378167641324,0.0975269940787182,0.35984848484848486,29.472,1.145,-10.24,0.0659219744557572,0.06288406390823434,0.6668967490433103,1.0,0.702226584698042,0.03127772429544898,1.0,1.0,0.1203762447245745,0.42129034925686665,0.0905716686377164,0.46176098858200904,0.04527853032932591,0.4062726630986999,0.0,0.29415724913516783,0.5444932393389575,0.43205167469443445,0.22058655711514322,0.30924716524299983,0.093952453774503,0.22058655711514322,0.31615453032426855,0.16019559895781466,0.0,0.09592888669403378,0.19999999999999996,0.984375,0.08812082693612312,0.2141623488773748,0.9520153550863724,0.07746119990734307,0.22950819672131148,1.0,CGRO BATSE,1.0
2610,0.7155852594449086,1.0,0.46969696969696967,48.704,4.608,-0.064,0.43430784016045243,0.7444694797214257,0.5835628196416437,0.3368511123787792,0.8913054708890841,0.018441965381203167,0.07130227335512437,0.15433093946944162,0.06628297028491795,0.3339056331568512,0.058167348470353035,0.27364790410486634,0.09185836446243259,0.2988282594804547,0.4718938813031347,0.57827665877697,0.6843291344042528,0.1571679149149428,0.6884057971014492,0.7915535500142391,0.7180036146253301,0.6884057971014492,0.36874414784642706,0.5060460847204279,1.0,0.12815210345998335,0.27812499999999996,0.1796875,0.14696325918520373,0.30397236614853196,0.16122840690978887,0.14065323141070188,0.32786885245901637,0.14414414414414414,CGRO BATSE,1.0
2614,0.001763668430335097,0.00557297109021247,0.37991240530303033,0.296,0.057,-0.021,1.0,0.03390004096681688,0.19419906298058007,0.058542498573873364,0.38978147440202504,1.0,0.06609126685278763,0.0033709511944892264,0.02043848844893196,0.03745674664158789,0.01986537898229033,0.04221465358388655,0.04391801654458446,0.05112762891944918,0.21616375880455094,0.09194954546031933,0.49543510921067835,0.02608792493805162,0.7183612917950474,0.13191350361837323,0.6616710690949534,0.7183612917950474,0.4084095719034888,0.7084292608641098,1.0,1.0,1.0,0.12109375,0.8010854429249831,0.8566493955094993,0.10748560460652591,0.2811211489460273,0.4918032786885245,0.1161161161161161,CGRO BATSE,1.0
2620,0.13932980599647268,0.18181818181818182,0.42803030303030304,18.88,2.376,-0.832,0.1627087482763904,0.11716509627201968,0.44758771145524123,0.2577010838562464,0.7257839541251226,0.0456235724937237,0.22187894617744117,0.5566466363769603,0.2213861761365476,0.7341348990958252,0.19088459923472773,0.6357284337941373,0.1401697615943011,0.4632219936384058,0.0,0.2805570492816706,0.4542355252513579,0.5468162708466744,0.26138308798356724,0.9532241571652542,0.1648547198665369,0.26138308798356724,0.36229990714771426,0.23530658006972988,0.0,0.14469582394518352,0.6687499999999998,0.1328125,0.15324740243510554,0.7392055267702936,0.11132437619961612,0.1992124160296502,0.885245901639344,0.09609609609609608,CGRO BATSE,1.0
2623,0.04130697113153254,0.06130268199233716,0.40151515151515155,3.392,0.143,-0.064,0.39670181205342847,0.12433428922572716,0.8073030292192697,0.25556189389617795,0.0,1.0,0.22901731124913535,0.18584200498314526,0.03165387212332653,0.23351095734445965,0.060864497592487916,0.2665921685777517,0.12657120263365995,0.28387986458285736,0.011501311570646192,0.20981794419062863,0.3649023460071651,0.9221538547206058,0.698105671573662,0.7185260417748198,0.6040316974836647,0.698105671573662,0.8079510119165053,0.6663792921566595,0.019054762314405317,0.33852896694342416,0.4562499999999999,0.22656249999999997,0.2719320169957511,0.4214162348877376,0.21113243761996162,0.24832059300440118,0.42622950819672123,0.1161161161161161,CGRO BATSE,1.0
2628,0.039821776663881925,0.06130268199233716,0.5681818181818182,5.888,0.091,0.064,0.22287839324762876,0.013570258090946336,0.638010085476199,0.0403593839132915,0.37345663067624113,0.09470147422466356,1.0,0.41301480287263675,0.1923391047697402,0.2366596444025081,0.2930820314261658,0.23320982664074896,0.347773112616068,0.205881804077572,0.038895053202914504,0.11197441423589204,0.8142262799029238,0.25884678564468083,0.540967705123816,0.7823707876803253,0.8651744751842069,0.540967705123816,0.6402792595845982,0.3802396810122186,0.023452516022331702,0.8957066576128893,0.7499999999999999,0.40625,0.9743278466097762,0.8082901554404146,0.3838771593090211,1.0,0.9016393442622948,0.38038038038038036,CGRO BATSE,1.0
2632,0.01086048454469507,0.015325670498084292,0.38429214015151514,1.443,0.093,-0.256,0.1486413081326518,0.15659565751741092,0.5104609992489539,0.5300912721049629,0.7276437464483132,0.058270570247465896,0.19703743572794546,1.0,0.0327130948083457,0.2085982685335267,0.04644350676673557,0.23148433199610347,0.03987726428835524,0.23889311093279136,0.027074112366603193,0.2419525799590413,0.6630070495781809,0.5110950246401426,0.5443911902316558,0.7382672750623704,0.2690949534269429,0.5443911902316558,0.5965559794918762,0.2751382560108808,0.14237047835172648,0.2605018673415846,0.4843749999999999,0.12890625,0.23694076480879783,0.49740932642487046,0.11516314779270634,0.187167014130183,0.4918032786885245,0.1161161161161161,CGRO BATSE,1.0
